cat,label,review
平板,1,给家人买的，还在学着使用，摄像头效果比不上手机同像素的效果
平板,1,发货速度快，早上下单，晚上到货
平板,1,第二次购买了，华为的平板非常不错，快递也十分速度，赞
平板,1,便宜！好用！就是有点重了！晒晒我的宝贝！套套是另外买的！很好看！
平板,1,开机系统升级到安卓7，相当流畅。声音不错，平板质量杠杠滴
平板,1,在京东购物很放心，到货速度快，价格实惠，真的很棒！
平板,1,做工精细，屏幕分辨率显示细腻，音效不错，整体运行速度很快，不卡，另外赞一个京东的送货速度，一如既往的快
平板,1,感觉外观不怎么好看，系统界面也需要重新设计
平板,1,华为品牌不错，商品物美价廉，送货及时，外观完整，使用比较流畅，画面感不错。
平板,1,看电视剧很顺畅，满意。
平板,1,很不错啊，买了3个多月了吧，才来评价确实是为了京豆，不过机器真的很好用
平板,1,音质很不错，屏幕分辨率看的很舒服，系统很流畅，相机的话一般，比较只有800，照相效果还可以接受，就是京东的快递速度是很快，快递小哥直接没交给我本人，而且电话都不打，要不是我及时发现，快递就丢了，希望京东把自己快递做的更好
平板,1,宝贝己收到，价格很满意，五星评价!
平板,1,还不错 ，配送超快的
平板,1,感觉还可以，速度挺快的，给老太太买的，玩玩微信，看看电视剧应该没问题。
平板,1,帮别人买的，说用着还可以！
平板,1,满意！屏够大！电量够足
平板,1,因为手机也是华为的，所以平板也选择了华为，本以为不能按时收货了，结果快递哥哥晚上八点半了给送过来，好感动，也辛苦快递哥哥了
平板,1,用了两天了，感觉还可以
平板,1,拖影有，但是不严重，不影响使用。比想象中大，毕竟8.4寸。响应速度非常棒，950不是盖的。
平板,1,什么都好。就是没耳塞和手机壳。套
平板,1,不好用，经常闪屏，本来要退，可惜找不到原包装盒了，很郁闷
平板,1,不错给父亲买的
平板,1,华为的东西随便买，国产性价比超高，娃儿看哈动画片，老妈看哈儿连续剧，不错
平板,1,用着不错，但不知道以后了
平板,1,正在用，感觉不错
平板,1,刚收到，看着不错，应该没问题吧
平板,1,出了点小插曲，不过已经解决了，下午下班后就拿到了，现在还在用，电池还不知道能用多久，等放完电再充再看看。到时再来评价。打游戏都还很流畅，听歌音质也不错。指纹反应也很快。
平板,1,还不错吧，刚开始用
平板,1,物流很快，店家好，商品物美价廉
平板,1,诛仙定制版非常值，送的乐视会员价值一百多，送的诛仙礼包自己不玩网上还能卖，比普通版值很多。
平板,1,挺好的 父亲节送给老爸用的
平板,1,今天刚拿到挺不错的哦很喜欢
平板,1,特别大的屏幕，看电视剧特别爽，屏幕分辨率也还好，我觉得很满意！没有他们说的那么不清晰，除了照相的像素有点差！光用来看电视还是相当舒服滴！幸好买的9.6寸的，就是大！哈哈！
平板,1,还行不错不错，发货特快
平板,1,不错，性价比很高，下回还买，就是看时间久了眼睛干
平板,1,很好，很不错，相当流畅，第一次感受到了游戏第一个加载完的感觉。
平板,1,华为的平板电脑就好用
平板,1,挺好的 虽然分辨率不高 但也在意料之中 其他的都挺好 打算给爸爸打打游戏
平板,1,华为的质量还是没得书。国产的战斗机
平板,1,第一次上京东买平板，发货速度很快物流也不赖，之前关注华为平板m3很久了，一直在纠结该选华为m3还是华硕3s平板，终于还是上手了华为平板m3，感觉挺好用
平板,1,很不错，物流很快
平板,1,给儿子买的，学学汉字，拼音，我看看视频，刚好送了会员年卡，太棒了
平板,1,黑边比较大，打了一把王者荣耀，总体可以，但感觉没有荣耀8手机流畅，930就差那么多吗。音质还可以，毕竟15年的款，便宜，能打王者荣耀就行了，手机实在太小。用了再来追评吧。
平板,1,用着还不错。到现在才评价。感觉到就是平板分辨率低了点，其他的都不错。
平板,1,快的很到位，支持京东，平板收到了感觉蛮好的。
平板,1,第四次购买华为荣耀了，很好，支持国产！
平板,1,超赞！超赞！超赞！！！！！！屏幕清晰，色彩艳丽，尺寸刚刚好！！！看漫画超级合适！！！！虽然有一点点小瑕疵，但是瑕不掩瑜！！超级满意！！！比我老婆的ipad好太多了！！！！买电子产品京东是首选！售前售后都超级方便！
平板,1,速度挺快，还可以吧
平板,1,不错不错，东西非常好
平板,1,音质杠杠的，用来看电影打游戏都没问题，就是摄像头像素一般，不过也够用，也不用来照相，电池续航有待提高，基本看3-4小时电影就没电了
平板,1,第一次上京东买手机，很好。
平板,1,感觉用着还可以，音质的确很不错，像素不是那么好，比较欠缺。赠送了一副耳机，如果能有保护套赠送的话那最好不过了。
平板,1,赞，东西经济实惠，还好用。还会继续支持
平板,1,很棒的电脑，入手很喜欢，值
平板,1,物流速度快，质量还不错
平板,1,还不错吧，用着先看效果怎么样再说吧！
平板,1,待机时间长，用起来还可以
平板,1,这个平板刚到手看着还是不错的。之前一直用苹果但是导文件是真心不方便。这次希望可以。送的保护壳一般。快递箱子都开了，希望以后改进，但是快递小哥很给力不是他的错。以后还要仔细观察好使不好使。
平板,1,华为M3很喜欢的手机，一直用华为的手机，支持国货。
平板,1,够大够用续航好 做工一般
平板,1,这个用着还行，暂时没问题，后续再继续评价
平板,1,平板收到了，试玩了一下流畅度还不错，平时上上网看看视频应该可以的，通话功能还没试，本人已买过三四款国产平板，包括苹果平板，华为在国产品牌算可以了，不过与苹果比较还差了较多。给予好评！
平板,1,在用中，手机挺好的，
平板,1,卡是中型卡，麻烦；用来打王者貌似又略大了一点，需要适应，而且刚玩的时候还算行，一个星期后变卡了，不知道是更新了系统还是产生了缓存，不过卡的是开始和结束，过程还可以。边框比较厚，玩游戏时经常把手移出屏幕而不自知。自营没有膜和套，要另买，其它的就是软件的适应问题了。声音确实比普通的平板好，喇叭分布在上下两头，有特色。屏幕旋转只能180度，也就是说，如果把平板倒立，它就转不过来了，只能向两边旋转。
平板,1,我觉得比苹果好，价格比较亲民，打王者荣耀不卡，内存小的问题可以通过扩展解决，电子产品更新速度快，没必要买贵的，5V2A的充电效果不错，平板连续玩一天，续航还可以，就是没有指纹解锁，所以每次都得按电源键亮屏，不过可以通过买皮套解决。总之国产的东西越做越好了。
平板,1,不错的平板，日常使用ok，支持华为
平板,1,宝贝很好，老爸很喜欢，速度快，看视频清晰，玩游戏不卡，手机不热！！真的超级超值！！！
平板,1,华为的可以信赖
平板,1,平板显示出色，各种运行都很流畅，质量好。随机赠送了贴膜
平板,1,非常好的通话平板，大小合适，反应速度快，支持国货！
平板,1,京东下单果然快！上午七八点买的 下午五点到的！果断好评
平板,1,挺好的，不过刚买几天就掉价了，让我很遗憾，不过平板真的不错，挺好用的，好评。
平板,1,玩王者荣耀刚进去画质很差，然后把画质调高了才好，没多仔细看，跑分和我的iPhone6p比还要少，电池还是不错的，然后辅助功能的皮套锁屏亮屏体验太差了，正常玩游戏都会自动锁屏，感应器在左下角，建议关了，快递说了哪天到就是那天到了，暂时感觉没毛病，就这样吧
平板,1,收到，东西很好。就是内存小了点，不够可以买内存卡。不错，我喜欢?
平板,1,平板给弟弟买的，拿到好兴奋哦，我们全家都是用的华为，支持国货，赞赞赞，物流超级快，有需要还会再来？客服很给力哦！！
平板,1,以后在不相信那些华为的黑粉了，游戏流畅，全特效fps30，影音效果是我用过最好的平板，同事看见都很给我长脸，京东的小哥速度真没毛病，上午买下午我就开撸了，支持京东，支持华为！
平板,1,还没用，连一个平板套都没送一个
平板,1,多次购买，还不错吧，华为值得信赖
平板,1,东西不错，各方面都很满意很喜欢
平板,1,收到后感觉很不错，比我现在用的好，给老妈的，估计她会喜欢
平板,1,支持国产，我都买了好几台了
平板,1,很不错的 很省电 很耐用
平板,1,这个价钱能买到这个平板，算值了，支持华为，支持国产
平板,1,看着还不错，给老人买的，应该还可以吧，没听说不行。
平板,1,东西挺好的，就是声音有点沙哑，还有像素也还行，其他的都不错……就是物流，京东太让我失望了，其他快递都是第二天到，而京东用了5天，而且客服也不回复，不理人，以后都不想在京东购物了。
平板,1,不错，买来看电影，屏幕够大的！
平板,1,国产手机的进步这两年是有目共睹的，特别是华为在终端这一块也下了不少功夫，继续努力，赶超美英日欧不是梦！
平板,1,支持国产，支持华为，华为平板电脑，不错的选择！使用反应灵敏，外观时尚！系统稳定！
平板,1,刚刚拿到货！外表很好、说明京东物流可以、只是里面没有耳机、关于质量用用才知道的。
平板,1,东西挺好的，值得，也不贵的
平板,1,用着很快！屏幕很大！朋友很喜欢还要弄一个！
平板,1,昨天下午下的单，今天上午就收到了，只有京东快递才这么给力，平板漂亮，真的漂亮，系统运行快顺畅，看电影，玩游戏都不卡，很值这个价位。
平板,1,x2收到平板用的很顺畅，值得买，很好忘了评价，今天才评，京东送货很快，态度很好，下次买还会在来
手机,1,摄像头做的不错，片子出来很清楚而且颜色好，这机子内存也够大，我总爱带个机子逛街，淘到好东西先秀一下，呵呵，一次看中一条丝巾，但是自己总系不好，老板打的超好，我让她换了几个样子，都让我用机子照下来了，现在还留着，感觉不错
手机,1,造型上说很新颖，有点MP4的感觉。26万色超大屏，看图，放片，还要说是屏大的机子用着爽，颜色也漂亮。带手写输入功能，再不用按来按去的发信息了。
手机,1,做工较精细，铃声效果非常好，屏幕显示效果好，多媒体功能强大，支持MiniSD卡扩展存储，可以对通话进行录音
手机,1,声音方面，64和弦铃声，十分响亮！不仅可以听MP3，还支持多种格式AMR、AAC等！色彩上，内屏为26万色十分清新！摄像头也是较高像素的，在它上面的照片效果十分好！还有，有外接存储卡！原装配件一应俱全！屏大！
手机,1,功能还算实在，尽管不是很好，但是，内外双屏的效果还不错，铃声也行了，手写笔慢是慢了点，但比起拼音打字方便多了，不用总是几个手指头在那个小小的按键上按来按去的。
手机,1,"1,外观，还可以！比较好看2,屏幕，在阳光下不好看清楚！在其他的地方还是很好的！当然没有TFT的屏幕好，但是价格在950，就可以了3,基本没有什么bug。有的时候电话薄上的有一个人的名字，但是按决定不能进入，但是也删出不掉。需要你全部复制到SIM 卡上，在复制回话机"
手机,1,外观时尚，机身设计有七彩灯，无须再为挑手机饰品费神、费钱。手写识别能力高（这个价格支持手写功能已经是很难得了）而且支持GPRS。铃声音量较大，最吸引人的是价格低廉。
手机,1,小，漂亮，铃声大
手机,1,"外型适合年轻人,漂亮;铃声大,效果也好"
手机,1,机子小小巧巧很精致!可以播MP3，音质还可以。铃声也挺大的
手机,1,一直用的这只机子，虽然功能不多，但是手机本身应有的功能全有了，我感觉没什么不好。那些加了比如MP3，摄像一类的功能的机子，先不说价格会上去，只说效果，MP3能放多少只歌？效果能赛过MP3机？再说摄像头，效果能跟数码相机的一样？一定不行，而且强把这些东西加进去，也没什么必要，我的原则，专物专用，如果要联合，就来个强强的，不然做的不好还非要做，还不如不做
手机,1,电池做的不错，连打电话加发短信，我能用一周，一般周6会充电，现在已成习惯了!机身够薄，机子也轻，拿着方便，放上衣兜里不会鼓出来一块，不错!机子带的铃声不错，但是下的真人真唱放不出声音来，所以目前只用机子带的铃声了
手机,1,1、T590整体造型设计简约、机身线条流畅，其最薄处比我们平时用的打火机高出2mm左右。边角制作工艺出色，具有良好的质感。2、CECT T590内建丰富铃音内容，其中含有10首短信音、30首40和弦手机内置铃声，以及丰富的个性化按键音内容。3、该机配置30万像素摄像头，支持标准、连拍、定时三种拍摄模式。同时具有定时、像框等多种趣味拍摄功能。4、CECT T590内置收音机功能，为其自身增强了娱乐性。5、“资讯时空”增值服务使用户可以随时随地的享受移动生活带来的无穷乐趣。6、T590支持GPRS无线高速上网功能，这样的功能配置无疑增强了其市场竞争力和性价比。
手机,1,不仅喜欢这款手机直爽的样子，而且它的强大配置也是让我着迷，采用的OLED屏幕看图片效果特别鲜艳，即使在强光下看字体也是很清晰的，明显优于一般的彩屏效果；200万像素16倍数码变焦和自动对焦功能，与索爱同类型机相比也不会逊色多少，拍出来的效果更是让人满意，没有任何红点现象，简直就可以很低端DC媲美；价格还可以让人接受
手机,1,心仪这款手机很久了，这次终于入手了，S88可是我心中的女神哦！它最大的特色在于屏幕，采用的是特殊全彩OLED显示，有别于一般的彩屏效果，这点在阳光底下看屏幕最能体现，人家的画面会模糊了许多，而我的却依然清晰可辨；另外它的200万像素摄像头也够抢眼的，和索爱的同类型机有得一拼，拍摄出来的图片很纯净，即使晚上使用也没有红点现象，算得上一款小巧的数码相机啦
手机,1,"性价比突出,屏幕显示效果佳,功能齐全,200W像素自动对焦,拍照效果满意"
手机,1,1.程序运行方面：程序运行迅速，就是在后台播放mp3时，手机的反应迅速依旧。2.视频方面：视频播放比较流畅。3.200W的像头拍摄的图片，无论是近景还是远景都敢于专业DC相比，比较清晰，细节拍摄也挺不错。4.续航能力比较理想。
手机,1,1.时尚的外观造型让人一见倾心； 2.支持FM收音功能； 3.IPS技术广视角屏幕表现不俗； 4.支持MicroSD卡扩展； 5.拥有独立分开的系统空间与存储空间。
手机,1,本机既有专门的音乐播放平台、又有30万30万像素摄像头、还支持mini SD卡扩充内存、而且价格还不超过1300，这样的好手机哪里去找？还有比明-西E61更实惠的么？
手机,1,继承了西门子键盘快捷功能菜单的功能，总共有15个按键可以自定义功能，按照自己的习惯定义好后基本就不用进手机菜单了！键盘手感很好，但不适合指甲长的人士使用！屏幕比传说中要好得多，电池的续航能力也很强！免提扬声器效果很好，接上耳机也很不错，顶部的MP3播放键很实用！存在手机里的电话可以自定义号码类型，无限添加电话号码，很爽！里面的两款游戏都很好玩儿！
手机,1,1.超大的镜面内屏和超薄的设计，在外观上算得上是出类拔萃。 2.按键舒适。 3.手机功能强大而实用。
手机,1,元旦拿到了这款机子，在充了一夜的电，用了1天后，越来越发觉了这款机子的一些优越性能，在此简单地谈谈我的感受。1，虽然是4096色屏幕，但是显示效果让人眼睛一亮，基本没有什么颗粒感，而128x160的分辨率，更是保证了细腻的显示2，16和弦铃声，清脆悦耳，感觉完全可以与国内的40和弦相媲美，10种不同国家不同风格的铃声，更是堪称经典3，菜单简洁明了，操作方便。有图形菜单和文字菜单两种显示方式，而且还有12项快捷键供用户方便操作4，其他的一些辅助功能多、全，而且强大，比较典型的就是来电礼貌拒听，还有外屏的日历显示也很有特点。
手机,1,做工不错！按键的手感比较舒服！显示屏的色彩柔和，画面清晰！声控拨号的识别率挺高！支持时下流行的JAVA功能！电话本比较方便查询，按数字键，就会出现相应的联系人信息！
手机,1,1 毫无疑问，这台机子最大的优点就是外形高档。镜面效果除了装饰功能外还可以作为小镜子使用，非常实用。2 电话本查找方便，只要按一下那条记录的首个字母（记录可以是英文，也可以是汉字）所对应数字键，就可以找到以那个字母开头的第一条记录。3 65536色TFT真彩屏、40和弦铃声、30W象素的摄像头、GPRS这些都算是非常主流的配置了，功能齐全。
手机,1,内屏颜色：26万色 TFT LCD；内含数码相机，6种分辨率选择、8段数字变焦、4种拍照亮度设定，8种拍摄场景模式、6种实时特效处理，超强相片编辑功能，相簿幻灯片自动播放功能 。
手机,1,1.机身采用了纳米光触媒涂层，抗菌性和抗污染性比较出色； 2.支持WAP、GPRS、JAVA； 3.铃声悦耳动听； 4.屏幕较大，分辨率高，显示效果出色； 5.商务功能强大，拥有“股票直通车”服务；
手机,1,机子造型可爱！那个镜子也算实用，上班起晚了，路上拿出来偷偷照照！机子还算轻，一般放在口袋里就可以了！价格比较便宜！翻盖时，感到很流畅，应该做工很好！屏幕还好，算比较清晰！铃音也行了！要求不高，1500元买的要求高不太现实！游戏玩起来，画面还算流畅，没事时，可以放松一下！
手机,1,便宜。能拍照。能上WAP网。500条电话薄够用。屏幕和铃声也说得过去。
手机,1,拍摄功能丰富，M305内置高清晰度数码CIF CMOS摄像头，可设置来电大头贴。响亮铃声，不会漏掉任何重要来电。
手机,1,外设计不错
手机,1,1.流线型的机身设计，外壳的质感也不错； 2.屏幕显示效果好； 3.来电清单及拒绝清单，可防骚扰； 4.菜单直观，使用起来很方便； 5.标点符号输入方便； 6.短信、电话簿存储量还可以； 7.传输软件功能强大，易用。
手机,1,太喜欢BENQ的样子了！！所以马上买下！BENQ由于还没取得在大陆销售手机的许可，所以由CECT来组装/销售的，不过还是BENQ的技术！！觉得很不错！！只是大陆的价格太高了，台北的朋友告诉，这款现在台湾只卖，折合人民币1400...
手机,1,我只能告诉大家杭州这边的报价一般在1500左右，标配是两电两充带耳机，样子绝对是很漂亮。
手机,1,"M100不错的机子,整体设计简洁,直板机只有一个屏,所以省是不用说的了,6万5千色的屏,差不多占了机子一半的空间,看着很舒服,不用再盯着小屏了,颜色漂亮,色泽饱满,显示也很清晰,铃声虽然只有16和旋,但是音质很好,还有就是这个机子支持GPRS及WAP上网功能,呵呵,方便"
手机,1,"这款手机的屏幕效果特别好,明基是做显示器和液晶面板的,以前的M300就不错的呀，现在这个颜色看起来比M300要好很多的哦~~鲜亮！！！M350的免提通话功能也试过了,效果值得表扬,没想到哦，呵呵~~~20几平米的会议室内,可以用这个电话当作会议电话来使用"
手机,1,键盘采用独特的设计，按数字键的时候手感很特别，键程适中，一会儿就能适应，用着舒服。发个短信打个电话用着不错
