label,summary,paragraph
"6","05超女三强被曝将聚首湖南台 周笔畅：还没确定","尽管江苏、湖南以及央视此前都扬言已经请到鸟叔来参加自家的跨年晚会，但11月25日，鸟叔公司的一纸声明将所有传闻都戳破了。在这场充满谎言的年终宣传战当中，记者不得不提高警惕对各方的信息进行逐一甄别。26日湖南卫视再度放出消息——今年跨年晚会将邀请李宇春、周笔畅和张靓颖这2005年超女三强聚首。记者通过求证得知，这次“那些年我们一起追的超女”基本上是靠谱的。"
"6","“05超女”情谊难续 何洁避谈李宇春：讨厌撒谎","还记得2005年超级女声的“成都小吃团”吗？这个称呼如今只能成为玉米、凉粉和盒饭们苦涩的回忆。当年在成都唱区一起走出的李宇春、张靓颖和何洁现在各有各的发展，而三人情谊由亲密到破裂的新闻总能登上头条。尤其是“宇洁”，何洁结婚，李宇春未出席未祝福的表现再度掀起双方粉丝的争论，而何洁近日因为参加浙江卫视的《一路上有你》真人秀节目，在受访时拒谈李宇春，一时间在微博上成了热门话题。昔日交好的三人在综艺荧屏隔空打擂，已婚的秀恩爱、未婚的秀实力，但提到彼此都不好言说，看来情谊难续。"
"2","06年将洗钱情资告知扁 台媒:叶盛茂戳破扁谎言","中新网10月14日电 被羁押禁见的台当局前“调查局长”叶盛茂，14日上午在被控隐匿、泄密案的庭审中，五度自责的说“我错了，愧对社会大众”。叶盛茂坦承早在2006年底泽西岛将陈水扁家族洗钱情事来函后，他随即报告陈水扁，陈水扁向他解释当时有很多经费用于国际“外交”。叶盛茂的说法，等于戳破陈水扁对外声称年初在妻子吴淑珍告知后才知家族有钱汇往海外的谎言。"
"4","06年报告预测美国就业市场空前低迷成现实","据美国《财富》杂志1月10日报道，美国12月就业报告显示，该月只增加74000个工作岗位，为近三年中最低的就业月增长。与此同时，该月放弃找工作的人数已经超过被雇佣人数总数四倍。因此已就业或正寻找就业机会的美国人口比例，即劳动参与率，降至自1978年来的最低，仅为62.8%。"
"6","06年超女三甲同台成泡影 尚雯婕拒与谭维维合唱","自从与天娱以700万高价解约后，尚雯婕就甚少亮相湖南荧屏，她也因此一度被坊间传闻遭湖南卫视“封杀”。不过这段江湖传言最近有了转机，记者昨日了解到，湖南卫视《天声一队》有意邀请2006年超女三甲合体，重现尚雯婕、谭维维、刘力扬同台的画面。各方到了就合作细节做最后讨论时，尚雯婕方面却临时变卦，坚持要一人独唱，相关各方也因此不欢而散。继早年谭维维的一首《谭某某》将谭维维和尚雯婕的关系和盘托出后，尚雯婕与谭维维的不和传闻再度升级……本报记者展娟娟 长沙报道"
"4","07年中国水环境质量稳定 三峡库区水质无明显变化","12月13日消息，湖北宜昌三峡梯级电站葛洲坝坝上江水已经纯清如泉，明静如画。据了解，三峡水库2008年出动清漂船2．9万多艘次，投入清漂人员11万人次，清理漂浮物约25万立方米，现已完成清漂工作，保护了长江三峡的水环境。     中新社发 韩玉洪 摄"
"1","07年以来中国与20多个国家举行20余次联合军演","中新网1月20日电  国务院新闻办公室20日发表的《2008年中国的国防》白皮书称，2007年以来，中国共与20多个国家举行了20余次联合军事演习或综合演练。"
"4","07年全国最大种粮大户替35个村1.8万农户种田","他租种的田地总共1.96万亩，除少数林地、菜地外，1.67万亩用于种粮，超过了农业部相关网站公布的2007年全国最大的种粮大户；"
"4","07年央行反洗钱现场检查处罚350家违规金融机构","中新网9月4日电 中国人民银行4日公布了《2007年中国反洗钱报告》。报告显示，2007年中国人民银行对4533家金融机构进行了反洗钱现场检查，对部分违规金融机构实施了行政处罚，罚金共计2652.42万元，全年共处罚金融机构350家，占被查金融机构总数的7.72%。"
"2","07年度政治献金民进党申报最多 高出国民党一倍","中新网9月2日电 台当局“监察院”1日公布07年度开设政治献金专户政党的收支结存表，计有26个政党申报：其中最值得关注的是，民进党政治献金收入比国民党高，是申报最多的政党，共计两亿五八八万余元(新台币，下同)；选举获胜的国民党有一亿一七九九万余元。"
"6","“07快男”难聚首 陈楚生、苏醒缺席湖南春晚","继跨年集结“05超女”三强后，湖南卫视春晚又喊“07快男”13强“回家”。不过令人遗憾的是，今晚直播的晚会中，陈楚生、苏醒将缺席这场兄弟们的聚会。"
"7","08-09赛季NBA领袖榜：他们把球队扛在自己肩上","又一个NBA赛季结束了。"
"7","08/09赛季短道速滑收官 中国旋风正猛不再惧""韩""","韩国短道军团，依然是当今世界霸主。但少帅李琰打造的中国冰刀军团，已经向霸主发起强有力的挑战。就在北京时间今天凌晨，在荷兰结束的本赛季短道最后一项国际赛事——团体锦标赛中，中国女队成功卫冕。她们用一个赛季出色的战绩宣告：我们不再惧“韩”。"
"4","08中国中小商业银行主要监管指标达历史最好水平","中新社北京三月十七日电(张潞璐)来自中国银监会十七日的消息称，二00八年，中国中小商业银行主要监管指标达到了历史最好水平。"
"7","08中国劳伦斯冠军奖:杜剑平获最佳残疾运动员奖","资料图：9月7日晚，北京残奥会首日游泳比赛在“水立方”举行，中国选手杜剑平在男子100米自由泳－S3级别比赛中获得冠军。     中新社发 任晨鸣 摄"
"5","08中国十大光棍揭晓 张艺谋易建联入选刘翔落选","8月6日上午，北京奥运会圣火在北京市传递。著名电影导演张艺谋传递奥运火炬后感慨万分，激动不已。     中新社发 马毅行 摄"
"6","08中国演艺名人公众形象满意度调查启动","去年曾因评出范冰冰为倒数第一名而搅热娱乐圈的“中国演艺名人公众形象满意度调查”即将于9月启动08年评选活动。"
"6","08中国演艺界十大社会责任缺失事件：艳照门居首","中新社北京二月二十四日电(记者 闫晓虹) 备受瞩目的《二00八中国演艺界十大社会责任感缺失事件》今日在此间发布。"
"6","08中国电影年产量超400部 国产大片""叫座又叫好""","中新社北京一月九日电 (记者 马海燕)二00八年中国电影故事片产量达到四百零六部，票房达到四十三点四一亿元人民币，较上年增十点一四亿，再次创下历史新高。"
"6","08中国电视四大""真相""：新闻受关注 选秀遭重创","当我们08年的日历翻完，它已成历史中难以磨灭的一页。回顾2008年，与我们朝夕相处的不仅是朋友同事和家人，还有端坐在家中不断变幻风景的电视荧屏。这个规则型电子物品记录着我们整个宏观社会的喜怒哀乐，也折射着我们每个人的微观世界。2008年，中国电视最少有四大“真相”需要我们记录在心。"
"6","08中国票房创新纪录 首次跻身全球电影市场前十","随着《梅兰芳》、《非诚勿扰》等贺岁大片的接连上映，截至2008年12月31日，2008年全年的中国电影票房最终攀升到创纪录的42.15亿元。国家广播电影电视总局电影局的数据统计，2008年电影票房比2007年增长8.88亿元，首次跻身全球电影市场前10名。值得一提的是，国产影片票房贡献达到25.63亿元，再度压倒引进片，占总票房收入的60%以上，《赤壁(上)》破3亿票房独占鳌头。"
"5","08中国秋拍成交额下降近半 09春拍继续缩水","当代艺术再也难续之前的天价神话。近日出炉的雅昌08秋拍报告中表明艺术品市场成交额与春季相比下降47.93%。与此同时，苏富比、佳士得公布的下月伦敦春拍计划中也表明，当代艺术拍品将近半缩水，而总估价更是只有此前的两成。"
"4","08中国股市盘出七宗""最"":中国石油成最囧的笑话","前天，A股市场以连续8个交易日的跌势结束了2008年度的全年交易，上证综指全年大跌65.39%，创出中国股市史上最大年跌幅。"
"5","08中国艺术品市场大缩水 挥别牛市寻找新利润点","2007年，中国艺术品投资市场达到历史最高峰：嘉德、保利等八大拍卖公司全年拍卖总成交额达66.8618亿元，为15年来的最高纪录。各家拍卖公司均准备在2008年大干一番。但2008年3月中旬，温总理讲话中表示过去高速增长的中国经济可能放缓下来，不久上海股市出现中国证券史上第一次“十连阴”，资本市场缩水，艺术品投资市场也出现资金吃紧的局势，将各拍卖公司的雄心壮志冰消雪化。"
"4","08中国蓝领报告发布 网络成为农民工就业新渠道","中新网杭州3月26日电(记者 柴燕菲 实习生董齐)今天上午，浙江大学公共管理学院等机构在杭州联合发布了《2008中国农民工(蓝领)报告》。报告显示:去年国内农民工通过网络求职人数占到了总人数的18%，比去年增加了一倍，网络成为农民工新的求职渠道。"
"6","08中歌榜颁奖典礼 ""快男超女""主宰内地歌坛(图)","昨晚，2008年度北京流行音乐典礼在北京工人体育馆盛大举行，近年来在选秀浪潮中脱颖而出的“超女”、“快男”纷纷亮相，渐成主力。"
"6","08亚姐选美丑闻案续：亚视本周公布票选结果","昨日，亚姐竞选风波又有新进展。对于此前有落选亚姐爆料称亚视前行政总裁王维基涉嫌性骚扰，王维基昨发声明承认自己在比赛中存在用错字眼，并为此道歉。而“落选亚姐”王誉霖昨日透露，亚视将于本周内公布票选结果。"
"6","08亚姐重选可能不大 女强人胡竞英入主亚视","亚视日前公布,悬空多时的行政总裁一职将由台湾纬来电视网总经理胡竞英出任。另外,亚视副总裁叶家宝证实,曾闹出黑幕的08亚姐重选机会不大,09年将继续大办亚姐。"
"7","08体坛八大花旦：郭晶晶居榜首 金晶撼世界(图)","12月19日，揭晓的“2008中国最美50人”中，章子怡、梁朝伟、周迅、张涵予、郭晶晶、李冰冰、张国立、赵薇、孙红雷、张雨绮、佟大为、范冰冰、蒋雯丽、成龙、李连杰名列前十五。体坛明星郭晶晶也强势杀入该榜前五。图为十二月中旬郭晶晶在京出席一时尚颁奖礼。     中新社发 杨可佳 摄"
"7","08体坛大片之""周于之争""：两个铁女人的恩恩怨怨","出品人：国家体育总局游泳运动管理中心"
"7","08体坛风云人物:杨威张怡宁分获男女最佳运动员","中新网北京2月21日电  “安踏之夜”2008CCTV体坛风云人物评选21日晚揭晓。经过100位评委经过两轮的评选，在奥运会上夺取两枚体操金牌的杨威当选最佳男运动员，乒乓球奥运冠军张怡宁被评为年度最佳女运动员。成功导演了奥运会开幕式的张艺谋获得首次设立的年度体坛风云人物评委会大奖。"
"7","08体育盘点：郭晶晶光芒四射 何雯娜超新星(图)","12月19日，揭晓的“2008中国最美50人”中，章子怡、梁朝伟、周迅、张涵予、郭晶晶、李冰冰、张国立、赵薇、孙红雷、张雨绮、佟大为、范冰冰、蒋雯丽、成龙、李连杰名列前十五。体坛明星郭晶晶也强势杀入该榜前五。图为十二月中旬郭晶晶在京出席一时尚颁奖礼。     中新社发 杨可佳 摄"
"7","08体育雷人春晚：胡紫薇主持 毛剑卿秀上海功夫","“雷”已经在成为了2008年最流行的网络词语，更是2008年民众最新最快捷的娱乐方式。时值年关将至，作为全国人民辛苦一年之后的年夜大礼，全世界体育圈联合起来为大家奉献一场雷人大餐。不怕你不爱看，就怕你经不住。"
"6","08内地票房榜走势明朗 国产大片称霸前三无悬念","2008年虽然尚有2个多月，但是内地年度票房榜前十强走势已经渐趋明朗，国产大片占据榜首是毫无悬念的事情，《赤壁》、《长江七号》、《画皮》更是包揽前三名。在今年接下来的引进片，只有11月份的《007：量子危机》和《巴比伦纪元》两部电影，虽然《007：量子危机》早于北美上映，但根据以往007影片的内地票房成绩，它根本无力撼动票房榜前三由国产大片把持的事实，这也是继去年票房榜前列均被国产片占领之后，今年国产片再次发威。"
"7","08十佳劳伦斯冠军奖:孟关良杨文军获最佳组合奖","资料图：8月23日下午，雅典奥运会冠军、中国选手杨文军、孟关良在北京奥运会皮划艇静水男子双人划艇500米决赛中成功卫冕，蝉连冠军。     中新社发 武仲林 摄"
"5","08十大文化事件:王兆山代鬼写诗 余秋雨泪谏灾民","10月8日，著名学者余秋雨在上海出席华人收藏家大会时表示：“中国收藏家太辛苦，民间收藏近年火热但理论水平太差，还需要提高。”当日，上海2008华人收藏家大会在上海国际会议中心开幕，旨在为华人收藏家提供交流平台，推动收藏文化研究和中华文化研究。     中新社发 汤彦俊 摄"
"6","08叱咤乐坛颁奖礼落幕 新势力获胜香港乐坛换天","昨天晚上接近7点，谢安琪、陈奕迅以及农夫分别代表最喜爱女、男以及组合的歌手，在台上邀请全体歌手上台合唱，意味着2008叱咤乐坛颁奖礼接近尾声。谢安琪成为颁奖礼的大赢家，共赢得6个奖项，而“没唱过一首粤语歌”的方大同则从陈奕迅、古巨基手中抢过“叱咤乐坛男歌手”金奖。"
"7","08国象联赛上海胜北京首夺冠军 广东无锡降级","2008“火炬地产杯”中国国象甲级联赛今日在上海落幕。排名第二的建桥学院队以3比2力克领头羊北京爱国者队，从而以微弱的小分优势力压北京队，首次夺得联赛冠军。"
"4","08基金业绩排行揭晓 债券、货币基金成最大赢家","泰达荷银成长、华夏大盘精选、金鹰中小盘精选分列股票型基金前三位"
"4","08基金盘点：从天堂到地狱 寄望来年转暖","开放式基金从2001年正式步入普通民众的视野。在不到10年的时间里，历经两轮牛熊转换，基民们既享受过基金分红带来的财富盛宴，也体味了净值大跌带来的辛酸和无奈。只不过，过去的一年，基金业遇到了前所未有的挑战——净值拦腰斩断、规模缩水一半；基民也承受了前所未有的心理落差——老基民把赚的吐了回去，新基民拿一半资产交了学费；基金公司更是被熊市打上了“坏人”的烙印——新老基金无人申购、基金经理被批得体无完肤。"
"7","08奥运三将PK世乒赛名额 马琳有戏王皓落选？","此前国际乒联曝光的世乒赛名单中，王皓、王励勤和“直通”的三名小将一同入选，马琳成为落选者。随后，中国男乒主帅刘国梁出面澄清，这只是初步名单，临近开赛时还会调整。当外界均将目光集中在王励勤和马琳到底谁上谁下时，马琳和王皓的主管教练吴敬平昨天透露了一个非常重要的信息。“马琳、王励勤和王皓三人将进行PK赛，现在时间还没有最终确定。”"
"7","08奥运场馆助申冬奥:五棵松打冰球 冰壶放水立方","首都体育馆 申办成功将举办花样滑冰和短道速滑比赛"
"6","“08奥运语录”出炉 韩乔生喊冤：我挺收敛了","“他的体重是30岁”；“菲尔普斯就像一只在水中的大鸟”……央视是奥运期间中国观众的关注焦点，而名嘴韩乔生最受追捧，几天比赛下来，久违的“韩乔生语录”再度更新。对此，韩乔生接受晨报记者采访表示无辜，称自己已经挺收敛了，此后的解说不会刻意留意“口误”。"
"6","08娱乐名词大盘点：孙红雷新""红楼""皆入选(组图)","2008年，网络新语很多，其中“雷人”一词迅速传播开来。在娱乐圈，不仅有雷人事件，也有雷人语录，雷人造型，甚至雷人台词。似乎一切都可以雷人一下。"
"6","08娱乐圈大事件""震""动人心 ""周倪畸恋""震级最强","“地震”"
"6","08娱乐明星自杀七宗最:崔真实最震撼 饭岛爱最囧","中新网12月25日电 2008年对于娱乐圈，是一个很特别的年份。在这一年里，从欧美到日韩，再到中国的台湾、大陆等地区，一些明星因为各种原因，纷纷走上绝路。"
"7","08安踏CCTV体坛风云人物年度评选提名奖大事记","2008年11月14日 — 2008年安踏CCTV体坛风云人物年度评选活动正式启动"
"4","08年10月以来中国实际使用外资连续出现负增长","商务部新闻发言人姚坚15日说，从2008年四季度开始，我国吸收外资呈现回落态势，2008年10月以来实际使用外资连续出现同比负增长。12月当月，我国实际使用外资金额同比下降5.73%。"
"4","08年13省GDP超万亿 16省力保今年GDP增速两位数","在已经召开“两会”的26个省中，预计2009年GDP增幅均在8%以上"
"4","08年16省区市国税部门收税19348亿 比上年增10%","中新网7月17日电 国家审计署今日在其官方网站上发布今年第9号公告，公布了16省区市国税部门税收征管情况审计调查结果和18省区市财政预算管理情况审计调查结果。"
"4","08年95家公司过会 沪深两地券商承销半壁江山","2008年度95家公司成功过会，其中有62家在沪深交易所上市，有33家公司IPO申请已过会正在等待上市。数据显示，注册地在深圳的平安证券、招商证券、国信证券、联合证券、第一创业、金元证券合计承销32家，占比三成。"
"4","08年A股各板块个股表现一览：农林板块跌幅最小","2008年尚余下最后一个交易日，无论最后一个交易日市场涨或者下跌，但2008年属于大熊市已成定局。2008年，国际金融危机、股市泡沫引发的自发修正、大小非减持等是市场下跌的几大诱因。2009年，市场依然要面对大小非解禁、宏观经济减速等多重压力，市场走势依然存在较大不确定性。2008年即将成为回忆，对2008年行业、个股的走势进行分析对于指导今后的操作具有积极意义。"
"3","08年世界小姐苏欣诺娃:迷恋体操 将成工程师(图)","中新网12月15日电 俄新网消息，在南非约翰内斯堡举行的2008年第58届世界小姐选美总决赛上，俄罗斯秋明国立石油天然气大学大学生克谢尼娅·苏欣诺娃摘得世界小姐桂冠。学业结束后，苏欣诺娃将可能成为一名工程师。这是该大学工作人员维塔利·福明15日透露的。"
"4","08年业绩快报:88家上市公司净利570亿增6.36％","已披露的2008年业绩快报数据显示——"
"1","08年中国交通民警因公牺牲65人 积劳成疾是主因","中新网4月3日电  据中国公安部网站消息，2008年，全国公安交通管理部门因公牺牲民警65人，因公受伤242人。"
"4","08年中国农民人均纯收入4761元 比07年增621元","中新网2月2日电 中央财经领导小组办公室副主任、中央农村工作领导小组办公室主任陈锡文今日表示，去年中国农民人均纯收入达到了4761元，07年是4140元，去年一年的农民人均纯收入就增加了621元。"
"7","08年中国十佳劳伦斯冠军奖:黄玉斌获最佳教练奖","资料图：8月12日，中国队在北京奥运会体操男子团体比赛中以286.125 分勇夺金牌。图为总教练黄玉斌体味冠军滋味。     中新社发 武仲林 摄"
